origem,destino,acao,peso_sugerido,numero_pr
ma-oli,CraigSiemens,COMMENTED,4,1262
ma-oli,CraigSiemens,CHANGES_REQUESTED,4,1262
ma-oli,CraigSiemens,APPROVED,4,1262
yonaskolb,CraigSiemens,APPROVED,4,1262
yonaskolb,bsudekum,MERGE,5,1251
keith,bsudekum,COMMENTED,4,1251
keith,bsudekum,COMMENTED,4,1251
keith,bsudekum,COMMENTED,4,1251
keith,bsudekum,COMMENTED,4,1251
keith,bsudekum,COMMENTED,4,1251
keith,bsudekum,APPROVED,4,1251
yonaskolb,bsudekum,APPROVED,4,1251
yonaskolb,CraigSiemens,MERGE,5,1250
yonaskolb,CraigSiemens,APPROVED,4,1250
yonaskolb,SSheldon,MERGE,5,1245
yonaskolb,SSheldon,APPROVED,4,1245
yonaskolb,Shinolr,MERGE,5,1243
freddi-kit,Shinolr,APPROVED,4,1243
yonaskolb,freddi-kit,MERGE,5,1242
giginet,freddi-kit,COMMENTED,4,1242
yonaskolb,freddi-kit,COMMENTED,4,1242
yonaskolb,freddi-kit,APPROVED,4,1242
yonaskolb,hisaac,MERGE,5,1240
yonaskolb,hisaac,APPROVED,4,1240
yonaskolb,antonsergeev88,MERGE,5,1237
freddi-kit,antonsergeev88,APPROVED,4,1237
yonaskolb,antonsergeev88,APPROVED,4,1237
yonaskolb,aleksproger,MERGE,5,1234
yonaskolb,aleksproger,COMMENTED,4,1234
yonaskolb,aleksproger,APPROVED,4,1234
yonaskolb,mtj0928,MERGE,5,1230
freddi-kit,mtj0928,APPROVED,4,1230
freddi-kit,mtj0928,COMMENTED,4,1230
yonaskolb,mtj0928,APPROVED,4,1230
freddi-kit,mtj0928,APPROVED,4,1230
yonaskolb,mtj0928,APPROVED,4,1230
yonaskolb,aleksproger,MERGE,5,1228
yonaskolb,jpsim,MERGE,5,1221
keith,jpsim,APPROVED,4,1221
yonaskolb,jpsim,CHANGES_REQUESTED,4,1221
yonaskolb,jpsim,APPROVED,4,1221
yonaskolb,lucabartoletti,MERGE,5,1219
yonaskolb,lucabartoletti,APPROVED,4,1219
yonaskolb,markst,MERGE,5,1218
yonaskolb,markst,APPROVED,4,1218
yonaskolb,hiragram,MERGE,5,1202
freddi-kit,hiragram,APPROVED,4,1202
giginet,hiragram,APPROVED,4,1202
yonaskolb,hiragram,APPROVED,4,1202
yonaskolb,tr1ckyf0x,MERGE,5,1198
Dm94st,tr1ckyf0x,APPROVED,4,1198
Dm94st,tr1ckyf0x,APPROVED,4,1198
yonaskolb,tr1ckyf0x,APPROVED,4,1198
yonaskolb,alvarhansen,MERGE,5,1197
yonaskolb,alvarhansen,COMMENTED,4,1197
yonaskolb,alvarhansen,APPROVED,4,1197
