origem,destino,tipo,peso_sugerido,numero_issue
alessionossa,freddi-kit,issue,2,1224
yonaskolb,freddi-kit,issue,2,1224
yonaskolb,freddi-kit,issue,2,1224
alessionossa,freddi-kit,issue,2,1224
Dennisdezhangaho,freddi-kit,issue,2,1224
freddi-kit,jfaust,issue,2,1223
asifmohd,jpsim,pr,2,1221
MalleswariDazn,gyulavoros,issue,2,1220
Simimi-dot,KamilGucik,issue,2,1217
yonaskolb,skofgar,issue,2,1215
yonaskolb,bonkey,issue,2,1212
hiltonc,MartinP7r,issue,2,1209
hiltonc,MartinP7r,issue,2,1209
yonaskolb,MartinP7r,issue,2,1209
hiltonc,MartinP7r,issue,2,1209
yonaskolb,tr1ckyf0x,issue,2,1207
yonaskolb,tr1ckyf0x,issue,2,1207
freddi-kit,hiragram,pr,2,1202
yonaskolb,rzil,issue,2,1193
yonaskolb,dehlen,issue,2,1192
yonaskolb,dehlen,issue,2,1192
yonaskolb,hakkurishian,pr,2,1191
yonaskolb,dalemyers,pr,2,1187
yonaskolb,dalemyers,pr,2,1187
yonaskolb,imWildCat,issue,2,1186
yonaskolb,evandcoleman,pr,2,1185
yonaskolb,evandcoleman,pr,2,1185
chrisg123,brandtdaniels,issue,2,1182
yonaskolb,brandtdaniels,issue,2,1182
tyten,brandtdaniels,issue,2,1182
yonaskolb,brandtdaniels,issue,2,1182
yonaskolb,tr1ckyf0x,pr,2,1181
yonaskolb,bimawa,pr,2,1179
yonaskolb,bimawa,pr,2,1179
yonaskolb,tr1ckyf0x,issue,2,1177
VaslD,liauli,issue,2,1174
MartinP7r,John-Connolly,issue,2,1173
yonaskolb,mattrobmattrob,issue,2,1172
yonaskolb,skofgar,pr,2,1170
freddi-kit,skofgar,pr,2,1170
skofgar,freddi-kit,pr,2,1169
skofgar,freddi-kit,pr,2,1169
grzegorzkrukowski,freddi-kit,pr,2,1169
mthole,freddi-kit,pr,2,1169
yonaskolb,skofgar,pr,2,1168
yonaskolb,sbaropeak,issue,2,1166
yonaskolb,PaulTaykalo,pr,2,1159
